_id,courseId,descriptionSize,keyWord,learnerCount,lessonCount,price,productName,score,source
5c9f927e13ba61f2f0673b96,1004791009,52,人工智能,203.0,4.0,28.0,JavaScript - 人工智能 五子棋AI篇,4.4,study.163.com
5c9f927e13ba61f2f0673b98,1004880013,363,机器学习,0.0,21.0,999.0,Python人工智能机器学习之人脸识别,4.4,study.163.com
5c9f927e13ba61f2f0673b9a,1004951005,424,人工智能,3548.0,1.0,0.0,人工智能时代的C++学习,4.7,study.163.com
5c9f927e13ba61f2f0673b9c,1004988027,105,人工智能,1201.0,3.0,0.0,人工智能时代谁将失去工作,4.5,study.163.com
5c9f927f13ba61f2f0673ba1,1003870020,437,人工智能,56.0,44.0,299.0,10小时从0到1学习人工智能,3.9,study.163.com
5c9f927f13ba61f2f0673ba3,1004031026,152,人工智能,7.0,38.0,1024.0,清华教授：人工智能之神经网络特训,4.4,study.163.com
5c9f927f13ba61f2f0673ba5,1004075079,398,深度学习,4608.0,5.0,0.0,人工智能与深度学习实战课程,4.5,study.163.com
5c9f927f13ba61f2f0673ba7,1004114002,437,人工智能,2601.0,12.0,0.0,AWS 云计算—AI 人工智能系列课程,4.4,study.163.com
5c9f927f13ba61f2f0673ba9,1002911005,366,人工智能,60.0,52.0,99.0,C语言高级扩展｜人工智能物联网,4.4,study.163.com
5c9f927f13ba61f2f0673bab,1002911012,362,人工智能,1025.0,61.0,9.9,Linux多线程｜人工智能物联网,4.8,study.163.com
5c9f927f13ba61f2f0673bad,1003108019,324,人工智能,145.0,36.0,199.0,人工智能数学基础：统计学（全册）,4.5,study.163.com
5c9f927f13ba61f2f0673baf,1006488021,72,机器学习,104.0,51.0,9880.0,人工智能机器学习高级实战课程,4.4,study.163.com
5c9f927f13ba61f2f0673bb1,1006510030,451,深度学习,47.0,30.0,299.0,实战篇和罗浩学人工智能深度学习,4.4,study.163.com
5c9f927f13ba61f2f0673bb3,1006512007,469,人工智能,3.0,59.0,9.9,Python人工智能之核心编程(连载),4.4,study.163.com
5c9f927f13ba61f2f0673bb5,1006536012,121,人工智能,2.0,25.0,998.0,人工智能大数据算法,4.4,study.163.com
5c9f927f13ba61f2f0673bb7,1006542002,158,人工智能,472.0,88.0,298.0,人工智能-Keras-项目实战,4.5,study.163.com
5c9f927f13ba61f2f0673bb9,1209045838,451,人工智能,1.0,15.0,69.0,人工智能在网络领域的应用与实践,4.4,study.163.com
5c9f927f13ba61f2f0673bbb,1005380007,74,人工智能,22.0,6.0,10.0,大数据云计算与人工智能学习路线,4.0,study.163.com
5c9f927f13ba61f2f0673bbd,1005400002,152,人工智能,1891.0,50.0,99.0,人工智能学习路线图与Python入门,4.6,study.163.com
