_id,courseId,descriptionSize,keyWord,learnerCount,productDifficultyLevel,productName,score,source,time
5c9fb47713ba61f2f06751b8,course~T4sR76ljEeeF1RLK9c5stA,1149,big data,4306.0,Advanced,Addressing Large Hadron Collider Challenges by Machine Learning,4.592592592592593,coursera.org,22.0
5c9fb47a13ba61f2f06751bb,course~71eLMaZLEeiDiw4YwP822A,364,ai,105.0,Intermediate,Serverless Machine Learning with Tensorflow on Google Cloud Platform 日本語版,4.8,coursera.org,9.0
5c9fb47d13ba61f2f06751be,course~kRI8UP9AEea3MBLvnjDGvg,115,big data,13447.0,Intermediate,Serverless Machine Learning with Tensorflow on Google Cloud Platform,4.431472081218274,coursera.org,11.0
5c9fb48013ba61f2f06751c0,course~hTDw8hwYEeibjxJlofFHZA,281,big data,947.0,Intermediate,Google Cloud Platform Big Data and Machine Learning Fundamentals 日本語版,4.291666666666667,coursera.org,10.0
5c9fb48413ba61f2f06751c3,course~a3Q1g0YtEeeJdBL3H0RODg,293,ai,7534.0,Intermediate,An Introduction to Practical Deep Learning,4.35,coursera.org,12.0
5c9fb48b13ba61f2f06751c6,course~okLtn0dFEeeMtBKozo_2UA,488,ai,836.0,Beginner,Designing the Future of Work,4.454545454545454,coursera.org,15.0
5c9fb48f13ba61f2f06751c9,course~BTfO2icYEeWbiBJCM9ziNQ,389,ai,22065.0,Mixed,Fundamentos del análisis de datos para la toma de decisiones,4.497844827586207,coursera.org,16.0
5c9fb49413ba61f2f06751cc,course~vUCac22dEeeB2gpod3ECDg,425,ai,7467.0,Intermediate,Fundamentals of Machine Learning in Finance,3.6015625,coursera.org,17.0
5c9fb49813ba61f2f06751cf,s12n~V1tcxKJiEeiLjAodmfy45A,1278,ai,784.0,Intermediate,Machine Learning with TensorFlow on Google Cloud Platform en Español,4.86,coursera.org,
5c9fb49c13ba61f2f06751d2,course~qBprGt8cEeWsvwp02yXW0Q,251,ai,69447.0,Beginner,"English for Science, Technology, Engineering, and Mathematics",4.802989130434782,coursera.org,24.0
