_id,courseId,descriptionSize,keyWord,learnerCount,lessonCount,num_reviews,price,productDifficultyLevel,productName,published_time,score,source,time
5ca03dd413ba61f2f0676b09,470672,206,big data,935,40,68,$74.99,Beginner Level,Learning MongoDB,2015-04-08T19:42:52Z,4.5143,udemy.com,3.5 hours
5ca03dd413ba61f2f0676b0b,1951282,206,big data,252,25,6,$79.99,All Levels,"SQL For Audit, Revenue Assurance and Data Science",2018-10-11T19:17:56Z,4.64676,udemy.com,3.5 hours
5ca03dd413ba61f2f0676b0d,2019516,75,big data,53,10,9,$99.99,All Levels,Introduction to Geospatial Data Analysis in Python,2018-11-16T20:07:35Z,4.15799,udemy.com,1.5 hours
5ca03dd413ba61f2f0676b10,1035518,387,big data,7720,68,1053,$199.99,All Levels,Multithreading and Parallel Computing in Java,2016-12-27T22:18:11Z,4.18218,udemy.com,6.5 hours
5ca03dd413ba61f2f0676b12,621096,694,big data,427,76,75,$49.99,Intermediate Level,Learn How Python Works with NoSql Database MongoDB: PyMongo,2015-10-09T18:10:27Z,2.69254,udemy.com,11.5 hours
5ca03dd413ba61f2f0676b14,1021446,359,big data,462,148,51,$199.99,All Levels,"Complete ElasticSearch with LogStash, Hive, Pig, MR & Kibana",2017-03-20T17:16:58Z,3.81188,udemy.com,6 hours
5ca03dd413ba61f2f0676b16,1562446,32,big data,24,6,3,$19.99,Beginner Level,AWS Big Data Storage with AWS Redshift,2018-02-22T14:02:48Z,1.0,udemy.com,32 mins
5ca03dd413ba61f2f0676b18,1250096,107,big data,1279,17,216,$199.99,Intermediate Level,Digital Advertising & Marketing 201: Today's Trends & Topics,2017-07-13T17:42:54Z,4.51871,udemy.com,2 hours
5ca03dd413ba61f2f0676b1a,1633696,30,big data,11,5,0,$19.99,Beginner Level,AWS Big Data Storage with Dynamo DB,2018-06-28T21:06:29Z,0.0,udemy.com,30 mins
5ca03dd413ba61f2f0676b1c,531366,251,big data,500,42,48,$29.99,Expert Level,Excel 2010 PowerPivot & Advanced Business Intelligence Tools,2015-07-02T21:59:20Z,4.65971,udemy.com,4 hours
5ca03dd413ba61f2f0676b1e,2279192,207,big data,0,34,0,$199.99,Beginner Level,Real-World Big Data Analytics with Apache Spark,2019-03-20T23:32:51Z,0.0,udemy.com,3.5 hours
5ca03dd413ba61f2f0676b20,2297148,0,big data,116,0,0,$154.99,All Levels,AWS BDS-C00 Certified Big Data Speciality Practice Test Exam,2019-03-29T11:01:38Z,0.0,udemy.com,213 questions
5ca03dd413ba61f2f0676b22,692176,139,big data,5630,29,285,$29.99,Beginner Level,Apply finance concepts for smart project management,2016-02-23T21:05:46Z,4.16349,udemy.com,2.5 hours
5ca03dd413ba61f2f0676b24,1681340,182,big data,80,34,15,$124.99,Intermediate Level,Learning Elasticsearch 6,2018-05-16T15:17:27Z,3.89876,udemy.com,3 hours
5ca03dd413ba61f2f0676b26,668996,226,big data,1664,40,262,$29.99,Expert Level,"Excel 2016 PowerPivot, PowerQuery, PowerView & BI",2015-11-14T05:08:51Z,4.21548,udemy.com,4 hours
5ca03dd413ba61f2f0676b28,1961938,75,big data,35,24,1,$49.99,Intermediate Level,Microservices introduction for Data Science,2018-10-21T22:35:36Z,3.0,udemy.com,1.5 hours
5ca03dd413ba61f2f0676b2a,1818348,357,big data,373,66,71,$199.99,All Levels,The Google Earth Engine Mega Course: GIS and Remote Sensing,2018-08-03T02:07:05Z,4.25108,udemy.com,6 hours
5ca03dd413ba61f2f0676b2c,97536,415,big data,5,89,0,$49.99,All Levels,Microsoft Access 2013,2013-10-04T18:42:28Z,0.0,udemy.com,7 hours
5ca03dd413ba61f2f0676b2e,531490,289,big data,1592,49,145,$29.99,Expert Level,Excel 2013 PowerPivot & Advanced Business Intelligence Tools,2015-07-02T22:25:13Z,3.70944,udemy.com,5 hours
5ca03dd813ba61f2f0676b33,1729246,235,big data,0,48,0,$199.99,All Levels,Apache Big Data Analytics 2019EDITION,2019-03-20T23:19:59Z,0.0,udemy.com,4 hours
5ca03dd813ba61f2f0676b35,2239210,54,big data,0,5,0,$19.99,Intermediate Level,eCommerce Analytics - Big Data and Machine Learning,2019-03-28T16:31:32Z,0.0,udemy.com,1 hour
5ca03dd813ba61f2f0676b37,848132,48,big data,110,7,13,$79.99,Intermediate Level,Splunk 6 Search & Reporting Bootcamp,2016-05-16T22:58:21Z,2.49105,udemy.com,1 hour
5ca03dd813ba61f2f0676b39,633180,222,big data,1943,28,35,$29.99,All Levels,"XML Tutorial: Create, Validate And Transform XML Documents",2016-01-25T18:07:14Z,2.20664,udemy.com,3.5 hours
5ca03dd813ba61f2f0676b3b,2107420,186,big data,6,35,1,$49.99,Beginner Level,FinTech - Prepare for the revolution in Finance,2019-03-23T20:42:12Z,5.0,udemy.com,3 hours
5ca03dd813ba61f2f0676b3e,873604,278,big data,24457,47,1020,Free,All Levels,Big data Internship Program - Foundation,2016-09-02T17:09:13Z,4.23329,udemy.com,4.5 hours
5ca03dd813ba61f2f0676b40,225796,43,big data,105461,7,7809,Free,Beginner Level,Big Data and Hadoop Essentials,2014-05-26T05:00:09Z,4.09847,udemy.com,43 mins
5ca03dd813ba61f2f0676b42,503980,200,big data,117029,15,11488,Free,Beginner Level,Hadoop Starter Kit,2015-05-28T19:27:56Z,4.3174,udemy.com,3.5 hours
5ca03dd813ba61f2f0676b44,1921122,40,big data,5780,12,104,Free,All Levels,Big Data Course,2018-12-06T16:13:05Z,3.65816,udemy.com,40 mins
5ca03dd813ba61f2f0676b46,919232,379,big data,17786,51,260,Free,Beginner Level,Setup Big Data Development Environment,2016-08-09T16:21:31Z,4.08024,udemy.com,6.5 hours
5ca03dd813ba61f2f0676b48,1941602,86,big data,2379,34,10,Free,Beginner Level,Hadoop Spark Hive Big Data Admin Class Bootcamp Course NYC,2019-02-14T23:15:39Z,3.93223,udemy.com,1.5 hours
5ca03dd813ba61f2f0676b4a,1978448,68,big data,4132,23,27,Free,All Levels,Apache SQOOP for Big Data Hadoop Beginners,2018-10-25T02:26:40Z,3.4532,udemy.com,1 hour
5ca03dd813ba61f2f0676b4c,1691928,72,big data,10095,14,232,Free,All Levels,Big data and Hadoop framework,2018-05-16T17:32:37Z,3.75338,udemy.com,1 hour
5ca03dd813ba61f2f0676b4e,1670796,153,big data,7194,31,124,Free,Beginner Level,Hadoop Basic Course for Beginners to Professionals,2018-09-22T22:29:09Z,3.97088,udemy.com,2.5 hours
5ca03dd813ba61f2f0676b50,1322102,32,big data,7282,7,91,Free,Beginner Level,New in Big Data: Apache HiveMall - Machine Learning with SQL,2017-08-16T02:52:02Z,3.58388,udemy.com,32 mins
5ca03dd813ba61f2f0676b52,2018646,45,big data,2279,9,38,Free,Beginner Level,Introduction to Azure HDInsight,2018-11-22T00:49:18Z,3.52145,udemy.com,1 hour
5ca03dd813ba61f2f0676b54,2120416,75,big data,4336,13,23,Free,Beginner Level,Career & Jobs in Big Data Science Zero 2 Hero A-Z New York,2019-01-06T02:13:05Z,3.87063,udemy.com,1.5 hours
5ca03dda13ba61f2f0676b56,1381906,327,big data,8993,62,38,Free,All Levels,Mobile ML and Data Science with nitroproc,2017-10-10T05:18:25Z,3.87019,udemy.com,5.5 hours
5ca03dda13ba61f2f0676b58,1884782,31,big data,3466,9,147,Free,All Levels,Fundamentals Data Analysis & Decision Making Models - Theory,2018-10-29T02:18:58Z,3.69687,udemy.com,31 mins
5ca03dda13ba61f2f0676b5a,2086694,141,big data,7460,16,48,Free,All Levels,Master Python language - learn easily with practice sessions,2018-12-17T02:25:07Z,3.71014,udemy.com,2.5 hours
5ca03dda13ba61f2f0676b5d,406778,490,big data,1098,47,39,$94.99,All Levels,Hadoop Made Very Easy,2015-02-02T17:08:28Z,4.04326,udemy.com,8 hours
5ca03dda13ba61f2f0676b5f,1286120,415,big data,4357,76,810,$99.99,All Levels,Hive to ADVANCE Hive (Real time usage) :Hadoop querying tool,2017-07-27T00:19:03Z,4.37704,udemy.com,7 hours
5ca03dda13ba61f2f0676b61,692738,90,big data,162,19,18,$74.99,Beginner Level,Learning Hadoop 2,2015-12-09T17:37:33Z,4.06869,udemy.com,1.5 hours
5ca03dda13ba61f2f0676b63,1231708,137,big data,0,18,0,$124.99,Beginner Level,Getting Started with Hadoop 2.x,2017-07-05T16:16:10Z,0.0,udemy.com,2.5 hours
5ca03dda13ba61f2f0676b65,1001410,184,big data,2484,39,399,$19.99,All Levels,Introduction to Data Science,2016-11-07T21:20:06Z,4.2348,udemy.com,3 hours
5ca03dda13ba61f2f0676b67,1140660,597,big data,14287,148,1763,$199.99,Intermediate Level,Zero to Deep Learning™ with Python and Keras,2017-05-11T17:37:03Z,4.30923,udemy.com,10 hours
5ca03dda13ba61f2f0676b69,1957444,278,big data,77,75,19,$19.99,All Levels,Learn Business Data Analysis with SQL and Tableau,2018-10-12T22:42:54Z,4.06542,udemy.com,4.5 hours
5ca03dda13ba61f2f0676b6b,2098356,302,big data,19,52,6,$19.99,All Levels,Learn Regression Analysis for Business,2018-12-24T02:35:41Z,5.0,udemy.com,5 hours
5ca03dda13ba61f2f0676b6d,2218844,79,big data,4269,13,15,$39.99,Intermediate Level,Random Forest Algorithm in Machine Learning,2019-02-15T21:58:05Z,3.44094,udemy.com,1.5 hours
5ca03dda13ba61f2f0676b6f,2001416,62,big data,552,13,6,$149.99,All Levels,Business Analytics: Drive Business Growth with Data Analysis,2018-11-03T23:53:10Z,2.66549,udemy.com,1 hour
5ca03dda13ba61f2f0676b71,2228510,3304,big data,5154,369,56,$199.99,All Levels,Splunk Hands-on - The Complete Data Analytics using Splunk,2019-02-21T01:46:41Z,4.06482,udemy.com,55 hours
5ca03dda13ba61f2f0676b73,2086282,740,big data,4996,84,12,$199.99,All Levels,Predictive Modeling and Regression Analysis using SPSS,2018-12-19T16:28:40Z,4.40282,udemy.com,12.5 hours
5ca03dda13ba61f2f0676b75,1268758,199,big data,0,22,1,$19.99,Beginner Level,Learn Python from scratch,2017-08-04T17:11:32Z,1.0,udemy.com,3.5 hours
5ca03dda13ba61f2f0676b77,2005310,67,big data,535,12,0,$149.99,All Levels,Business Analytics: Use Data Analysis for Financial Industry,2018-11-07T00:31:48Z,0.0,udemy.com,1 hour
5ca03dda13ba61f2f0676b79,2141498,384,big data,6400,46,27,$199.99,All Levels,"Econometrics#1:  Regression Modeling, Statistics with EViews",2019-01-11T02:30:35Z,4.17124,udemy.com,6.5 hours
